iter	Passed	Remaining
877	3010	418
878	3014	414
879	3017	411
880	3020	407
881	3023	404
882	3027	401
883	3030	397
884	3033	394
885	3037	390
886	3041	387
887	3045	384
888	3048	380
889	3052	377
890	3055	373
891	3059	370
892	3062	366
893	3065	363
894	3069	360
895	3072	356
896	3076	353
897	3079	349
898	3082	346
899	3085	342
900	3089	339
901	3093	336
902	3096	332
903	3099	329
904	3103	325
905	3106	322
906	3110	318
907	3113	315
908	3116	312
909	3120	308
910	3123	305
911	3126	301
912	3130	298
913	3133	294
914	3136	291
915	3140	287
916	3143	284
917	3146	281
918	3150	277
919	3153	274
920	3156	270
921	3160	267
922	3163	263
923	3166	260
924	3170	257
925	3173	253
926	3177	250
927	3180	246
928	3183	243
929	3187	239
930	3190	236
931	3194	233
932	3197	229
933	3200	226
934	3203	222
935	3207	219
936	3210	215
937	3214	212
938	3217	208
939	3220	205
940	3223	202
941	3226	198
942	3230	195
943	3233	191
944	3237	188
945	3240	184
946	3243	181
947	3246	178
948	3250	174
949	3254	171
950	3257	167
951	3261	164
952	3264	160
953	3267	157
954	3270	154
955	3274	150
956	3277	147
957	3280	143
958	3284	140
959	3287	136
960	3290	133
961	3293	130
962	3297	126
963	3300	123
964	3303	119
965	3306	116
966	3309	112
967	3313	109
968	3317	106
969	3320	102
970	3324	99
971	3328	95
972	3331	92
973	3335	89
974	3338	85
975	3342	82
976	3346	78
977	3349	75
978	3353	71
979	3356	68
980	3360	65
981	3364	61
982	3367	58
983	3371	54
984	3375	51
985	3378	47
986	3382	44
987	3385	41
988	3389	37
989	3393	34
990	3396	30
991	3400	27
992	3403	23
993	3407	20
994	3411	17
995	3414	13
996	3418	10
997	3422	6
998	3426	3
999	3429	0
